precision|recall|f1|pr_auc|detectados|tasa_detectada|variante|modelo|feature_principal|transformacion|latencia_ms|registros_test|fold|subpartida|registros_train|outlier_rate_test
0.0|0.0|0.0|0.0625|1|0.03125|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|16.43100000001141|32|3|1005902000-MAIZ REVENTON (ZEA MAYS CONVAR. MICROSPERMA O ZEA MAYS VAR. EVERTA)|130|0.0625
1.0|1.0|1.0|1.0|2|0.0625|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.03929999913089|32|4|1005902000-MAIZ REVENTON (ZEA MAYS CONVAR. MICROSPERMA O ZEA MAYS VAR. EVERTA)|130|0.0625
1.0|1.0|1.0|1.0|2|0.0625|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.348499999759952|32|4|1005902000-MAIZ REVENTON (ZEA MAYS CONVAR. MICROSPERMA O ZEA MAYS VAR. EVERTA)|130|0.0625
0.0|0.0|0.0|0.0625|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|16.583599999648868|32|4|1005902000-MAIZ REVENTON (ZEA MAYS CONVAR. MICROSPERMA O ZEA MAYS VAR. EVERTA)|130|0.0625
0.6|1.0|0.75|0.6|5|0.15625|A_BASELINE|IQR sobre VU original|VU|sin transformacion|8.890400000382215|32|5|1005902000-MAIZ REVENTON (ZEA MAYS CONVAR. MICROSPERMA O ZEA MAYS VAR. EVERTA)|130|0.09375
0.6|1.0|0.75|0.6|5|0.15625|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.078700000827666|32|5|1005902000-MAIZ REVENTON (ZEA MAYS CONVAR. MICROSPERMA O ZEA MAYS VAR. EVERTA)|130|0.09375
0.0|0.0|0.0|0.09375|1|0.03125|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|16.080700001111836|32|5|1005902000-MAIZ REVENTON (ZEA MAYS CONVAR. MICROSPERMA O ZEA MAYS VAR. EVERTA)|130|0.09375
0.6|1.0|0.75|0.6|5|0.05952380952380952|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.392699999807519|84|1|1005903000-MAIZ BLANCO (MAIZ GIGANTE DEL CUZCO)|335|0.03571428571428571
0.75|1.0|0.8571428571428571|0.75|4|0.047619047619047616|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.343700001409161|84|1|1005903000-MAIZ BLANCO (MAIZ GIGANTE DEL CUZCO)|335|0.03571428571428571
0.0|0.0|0.0|0.03571428571428571|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|16.635199999655015|84|1|1005903000-MAIZ BLANCO (MAIZ GIGANTE DEL CUZCO)|335|0.03571428571428571
1.0|1.0|1.0|1.0|3|0.03571428571428571|A_BASELINE|IQR sobre VU original|VU|sin transformacion|10.881700000027195|84|2|1005903000-MAIZ BLANCO (MAIZ GIGANTE DEL CUZCO)|335|0.03571428571428571
