subpartida|variante|f1_promedio_subpartida|precision_promedio_subpartida|recall_promedio_subpartida|pr_auc_promedio_subpartida|folds|registros_test_total
1106301000-HARINA, SEMOLA, Y POLVO DE BANANAS O PLATANOS|B_LOG|0.6|0.6|0.6|0.6333|5|60
1106301000-HARINA, SEMOLA, Y POLVO DE BANANAS O PLATANOS|C_WINS|0.0|0.0|0.0|0.1|5|60
1106302000-HARINA, SEMOLA, Y POLVO DE LUCUMA (LUCUMA OBOVATA)|A_BASELINE|0.91|0.8533|1.0|0.8533|5|135
1106302000-HARINA, SEMOLA, Y POLVO DE LUCUMA (LUCUMA OBOVATA)|B_LOG|0.8433|0.7533|1.0|0.7533|5|135
1106302000-HARINA, SEMOLA, Y POLVO DE LUCUMA (LUCUMA OBOVATA)|C_WINS|0.1|0.2|0.0667|0.1481|5|135
1106309000-HARINA, SEMOLA, Y POLVO DE LOS DEMAS PRODUCTOS DEL CAPITULO 8|A_BASELINE|0.1233|0.0841|0.2333|0.0653|5|347
1106309000-HARINA, SEMOLA, Y POLVO DE LOS DEMAS PRODUCTOS DEL CAPITULO 8|B_LOG|0.7729|0.6867|0.9|0.6562|5|347
1106309000-HARINA, SEMOLA, Y POLVO DE LOS DEMAS PRODUCTOS DEL CAPITULO 8|C_WINS|0.0|0.0|0.0|0.0403|5|347
1108120000-ALMIDON DE MAIZ|A_BASELINE|1.0|1.0|1.0|1.0|5|46
1108120000-ALMIDON DE MAIZ|B_LOG|0.9333|0.9|1.0|0.9|5|46
1108120000-ALMIDON DE MAIZ|C_WINS|0.0|0.0|0.0|0.1289|5|46
1108130000-FECULA DE PAPA (PATATA)|A_BASELINE|0.0|0.0|0.0|0.0|5|84
1108130000-FECULA DE PAPA (PATATA)|B_LOG|0.0|0.0|0.0|0.0|5|84
1108130000-FECULA DE PAPA (PATATA)|C_WINS|0.0|0.0|0.0|0.0|5|84
1201900000-HABAS (POROTOS, FRIJOLES, FREJOLES) DE SOJA (SOYA), INC QUEBRANT, EXCEP. PARA SIEMBRA|A_BASELINE|0.6933|0.6333|0.8|0.6533|5|50
1201900000-HABAS (POROTOS, FRIJOLES, FREJOLES) DE SOJA (SOYA), INC QUEBRANT, EXCEP. PARA SIEMBRA|B_LOG|0.86|0.8|1.0|0.8|5|50
